,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Text_ID,Dominant_Topic_ID
20,20,6.0,0.9891999959945679,"video chanting racist words went, tasted outrage public video chanting, montgomery county middle school kids, middle school kids tasted outrage, kids tasted outrage public video, public video chanting racist words, outrage public video chanting racist, county middle school kids tasted, school kids tasted outrage public, chanting racist words went viral","Montgomery County middle school kids have tasted the outrage of the public
after a video of them Chanting racist words went viral on Facebook; further
deepening the agony of racism in schools today. Montgomery County middle
school kids have tasted the outrage of the public after a video of them
Chanting racist words went viral on Facebook; further deepening Racism In
American Schools: Video Shows White Kids Chant “N-Word” On School Bus
| BM BM",document #: 20,topic #: 6.0
21,21,5.0,0.1923000067472458,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Since when the celebration of the Black beauty is a racism?! What about all
the white thing then? Looks like word ""racism"" doesn't exist if you're white!",document #: 21,topic #: 5.0
22,22,5.0,0.19259999692440033,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","The lawyer for Jay Anderson’s family has disclosed that the deceased never
pointed a gun at the officer prior to the police shooting which caused his
death. The lawyer for Jay Anderson’s family has disclosed that the deceased

never pointed a gun at the officer prior to the police shooting which caused his
death. Police Shooting: Video Revealed Jay Anderson Didn’t Hold Gun | BM
blackmattersus.com",document #: 22,topic #: 5.0
23,23,5.0,0.9624999761581421,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","For years, white supremacists in the Dothan, Alabama, police department
allegedly planted drugs and guns on black people.
There’s a lot going on in this story, which the Alabama Justice Project is said
to have helped break thanks to anonymous whistleblowers within the Dothan
Police Department.

Subscribe to our Channel:
https://www.youtube.com/ChahnellUCszPCwUDPvDCR6VRaOCDtg

Follow my Facebook: https://www.facebook.com/WilliamsandKalvin
Follow me on Instagram: https://www.instagram.Com/williams.and.kalvin

Follow me on Twitter: https://twitter.com/Williams8kalvih All Cops are
Criminals",document #: 23,topic #: 5.0
24,24,5.0,0.1923999935388565,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Are you unhappy with our new president his bigoted agenda? Looking for
sweatshirt or hoodie to prove that?

Click the link down below and find a hoodie that‘s just for you.

https://represent.com/not-my-president-1 Stop Trump and his bigoted agenda!
Not My President BM",document #: 24,topic #: 5.0
25,25,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https",The cop beat this man like he was a runaway slave.,document #: 25,topic #: 5.0
26,26,5.0,0.1923000067472458,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","America is far from stamping on racism problem. Unfortunately, the skin color
can determine a whole range of variables in life.",document #: 26,topic #: 5.0
27,27,7.0,0.9692000150680542,"example racial profiling cost innocent, cost innocent jerome smith years, petition save innocent jerome skee, pays attention fights life help, needed case classic example racial, life help achieve justice sign, fights life help achieve justice, profiling cost innocent jerome smith, cost jerome brought home pays, brought home pays attention fights","Institutional racism takes a hold of our schools as white students of the
University of North Dakota make a mockery of Black people. Institutional
Racism: White Students Slam BLM | BM BM",document #: 27,topic #: 7.0
28,28,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Have seen good ones, but this is so far, in my opinion, the best
#mannequinchallenge. Hands down!",document #: 28,topic #: 5.0
29,29,6.0,0.9891999959945679,"video chanting racist words went, tasted outrage public video chanting, montgomery county middle school kids, middle school kids tasted outrage, kids tasted outrage public video, public video chanting racist words, outrage public video chanting racist, county middle school kids tasted, school kids tasted outrage public, chanting racist words went viral","Montgomery County middle school kids have tasted the outrage of the public
after a video of them Chanting racist words went viral on Facebook; further
deepening the agony of racism in schools today. Montgomery County middle
school kids have tasted the outrage of the public after a video of them
Chanting racist words went viral on Facebook; further deepening Racism In
American Schools: Video Shows White Kids Chant “N-Word” On School Bus
| BM BM",document #: 29,topic #: 6.0
30,30,5.0,0.19290000200271606,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Find out how to escape bad credit reports: goo.gllGAerz

A recent study has revealed some surprising differences in credit scores
between African-Americans and Caucasians.

The study showed that Caucasians earning less than $25,000 per year were
likely to have better credit scores than African-Americans earning between

$65,000 and $75,000 per year.

Overall, the study found 27 percent of all credit reports belonging to
Caucasians were poor, compared to 48 percent of those belonging to African-

Americans.

Although credit reporting is supposed to be free of prejudice, some
researchers said the system may be inherently stacked against minorities.

Find out how to escape bad credit reports: goo.gllGAerz",document #: 30,topic #: 5.0
31,31,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https",This page is dedicated to The MOVE. Join us to support this Organization!,document #: 31,topic #: 5.0
32,32,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https",Videoblog about social issues.,document #: 32,topic #: 5.0
33,33,5.0,0.1923000067472458,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","You'll never believe what anti-Trump activists did. Click on Trump's face to
Check out. STOP TRUMP! STOP RACISM! #NotMyPresident BM",document #: 33,topic #: 5.0
34,34,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https",Dark skin is Flawless,document #: 34,topic #: 5.0
35,35,5.0,0.19259999692440033,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","If you ever thought of doing that one crazy ""Gangsta"" sh*t, then i got a very
challenging assignment for you, but before that, Check out this Gangsta! He's
dope and that is real respect!!!

#westandtogether #melanin #blackisbeautiful #blacklivesmatter
#blackgirlmagic #USA #blackandproud #Africanamerican #unite4justice
#melanin #icantbreathe #hood

#blackgirl #blackbeauty #darkskin #blackqueen #blackqueens #problack #afro
#afrocentric #boycott #novem ber8 #elections2016 #ripaltonsterling
#altonsterling #TerenceCrutCher",document #: 35,topic #: 5.0
36,36,5.0,0.1923000067472458,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","This cop brutalized the Child for taking a shortcut back home. This is why we
have the BLM movement against injustice and police brutality. This cop
brutalized the Child for taking a shortcut back home...",document #: 36,topic #: 5.0
37,37,5.0,0.9843999743461609,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Black Americans have really different problems to face no white American can
ever experience in his own life.

We have the same problems in our communities after the presidential
elections as we had before.

So, give no attention to what you are told by the media. Get down to your own
business.

Subscribe to our Channel:
https://www.youtube.com/ChahnellUCszPCwUDPvDCR6VRaOCDtg

Follow my Facebook: https://www.facebook.com/WilliamsandKalvin
Follow me on Instagram: https://www.instagram.Com/williams.and.kalvin

Follow me on Twitter: https://twitter.oom/Williams8kalvih",document #: 37,topic #: 5.0
