,description,image,tag,Left,Right,Violence,Apathy
273,"At the Last Supper Jesus says:

He said to them, “But now if you have a purse, take it, and also a bag; and if

you don’t have a sword, sell your Cloak and buy one.”
— Luke 22:36

What does that mean? Jesus always stood for peace and non-violence. But

enemies often issued threats towards Him and His disciples. There's always
was a risk for them to be arrested and subjected to a great violence, and be

followed with rage and persecution; so that they might seem to stand in need
of swords to defend them: the phrase is expressive of the danger they would
be exposed to, and of their need of protection.

And we, American Christians, should remember about it. Sometimes you
have to arm yourself to protect your loved ones and friends.",https://mith.umd.edu/irads/files/original/db7eb4d587d1ce038fb0ccabde00ebea.png,Army of Jesus|blue|gun|illustration|Joy|red|religion|sacred|security|text|U.S. Flag|white|woke,0,1,1,0
274,"Bianca Carlisle Parker is the wife of Dante Parker, an African American man
who was killed by police. Dante Parker, 36, a father of five and a popular
newspaper pressman died in police custody on August 12, 2014. He was
tasered over 25 times by cops who suspecte Widow Of Dante Parker: | Still
Haven’t Seen Police Report | BM BM",https://mith.umd.edu/irads/files/original/473f3eb8903d6ddb4c2103ea84b2478a.png,Anger|black|Black Matters|blacklivesmatter|BM|civil rights|common folks|crime|darkness and light|equality|Fear|freedom|gun|meme|photograph|police brutality|race|racial identities|racial tensions|Sadness|security|white|yellow,1,0,0,1
284,"Wall street, Sissies, cowards, and liars stand for and behind Hillary. Trump's
background is way more imposing!",https://mith.umd.edu/irads/files/original/28c7edca7c2f8a76cbb8b5bce5a34b8d.png,Anger|blue|can't trust the Clintons|Clinton|guns|nation|photograph|red|Trump|Wall Street|white,0,1,1,0
285,"A new video shows Officer Jason Stockley planting a gun on Anthony Lamar
Smith after he shot and killed him. A new revelation has popped up following
the release of a new video of the 2011 police fatal killing in St. Louis. The
video captures Officer Jason Stockley, th St. Louis Killer Cop Caught In On
Camera | BM BM",https://mith.umd.edu/irads/files/original/4b108635d199f455ce036a3e819cce40.png,Anger|BM|guns|photograph|police brutality|race|racial tensions|Sadness|text,1,0,0,1
293,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/4a806e0301cc153edf2d25c7413e427d.png,blue|gun|Heart of Texas|illustration|Joy|nation|non-partisan|patriotism|red|Texas|U.S. Flag|white,0,1,1,0
297,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/27419e7c127b131194bd1c08f0f57539.png,blue|gun|Heart of Texas|illustration|Joy|nation|non-partisan|patriotism|red|Texas|U.S. Flag|white,0,1,1,0
299,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/4d49a07eed21cf37440dc3bd4a50a28c.png,blue|gun|Heart of Texas|illustration|Joy|nation|non-partisan|patriotism|red|Texas|U.S. Flag|white,0,1,1,0
305,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/6ee9d843fe34f103677e4a30eb9dade7.png,blue|gun|Heart of Texas|illustration|Joy|nation|non-partisan|patriotism|red|Texas|U.S. Flag|white,0,1,1,0
308,"Amazing Beyoncé protested against gun violence during her performance in
the Video Music Awards. The popular singer showed her disapproval of the
recent gun violence in the country through her VMA performance. Beyoncé,
while performing a number of songs fro Beyoncé Protests Against Police
Brutality In VMA Performance | Black Matters BM",https://mith.umd.edu/irads/files/original/6efc46486c753f9211deb65089e1ccf0.png,Anger|black|blue|BM|civil rights|gun|Joy|photograph|police brutality|popular culture|race|racial identities|racial tensions|Sadness|white,1,0,1,0
311,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/da948fc7a596f49c060ceac498bb3f01.png,blue|gun|Heart of Texas|illustration|Joy|nation|patriotism|red|Texas|U.S. Flag|white,0,1,1,0
314,"Police kill us for not moving fast enough, for minding our own business. They
don‘t realize that our daily goal is to return to our families alive and well.",https://mith.umd.edu/irads/files/original/8978607548f882b2d91defac43079b9e.png,Anger|blue|BM|crime|Fear|guns|illustration|police brutality|race|racial tensions|red|U.S. Flag|white,1,0,0,1
342,"A new video shows Officer Jason Stockley planting a gun on Anthony Lamar
Smith after he shot and killed him. A new revelation has popped up following
the release of a new video of the 2011 police fatal killing in St. Louis. The
video captures Officer Jason Stockley, th St. Louis Killer Cop Caught In On
Camera | BM BM",https://mith.umd.edu/irads/files/original/e89ebbdcd24581205ca1f25019995042.png,Anger|black|BM|common folks|gun|photograph|police brutality|race|racial tensions|red|Sadness|white,1,0,0,1
343,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/fb2e5f982b411a72f1e3a75f4c3cc310.png,blue|guns|Heart of Texas|illustration|Joy|non-partisan|red|Texas|white,0,1,1,0
