,description,image,tag,Left,Right,Violence,Apathy
1480,"Police brutality in America gone crazy. But America is too busy bombing
countries in the Middle East.",https://mith.umd.edu/irads/files/original/59a336ab2805d6101fa22915564a86b0.png,Anger|black|Blacktivist|blue|civil rights|foreign policy|guns|police brutality|race|racial tensions|red|U.S. Flag|white,1,0,0,1
1490,Our history is forever in our blood,https://mith.umd.edu/irads/files/original/fb361eeac58ed79784f074a10b5f8fac.png,brown|Brown Power|darkness and light|green|guns|Joy|nation|painting|patriotism|racial identities|religion|religious figure|sacred,1,0,0,1
1493,"Using our tax money to bomb innocent people in #Syria and the Middle East
is terrorism too!",https://mith.umd.edu/irads/files/original/b6ecb7c91242dc4832f9fedcf4e5c696.png,Anger|black|blue|darkness and light|Fear|foreign policy|guns|invader|Islamophobia|meme|Terrorism|United Muslims of America|war|white,1,0,0,1
1514,The history of liberty is a history of resistance.,https://mith.umd.edu/irads/files/original/a3c33c1456095ce71e7a7c16fe6ae177.png,Anger|black|brown|Brown Power|darkness and light|guns|invader|Joy|liberty|painting|race|racial tensions|red|soldiers|text|war|white|yellow,1,0,1,0
1517,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/b0b5676dab0fc328f691e47a3bd0b067.png,2nd Amendment|black|civil rights|guns|Joy|nation|patriotism|photograph|text|white,0,1,1,0
1525,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/6fbeca562750e76d676b22e990060f24.png,2nd Amendment|black|city on a hill|common folks|Defend the 2nd|green|gun|guns|intoxicants|Joy|nation|orange|patriotism|photograph|red|text|U.S. Flag|yellow,0,1,1,0
1527,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/05099bcb1c8a58790dcf689afc15d84c.png,2nd Amendment|black|city on a hill|common folks|Defend the 2nd|green|gun|guns|intoxicants|Joy|nation|orange|patriotism|photograph|red|text|U.S. Flag|yellow,0,1,1,0
1531,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/e359cb2e7b48bfe4784e9812ee1614f2.png,2nd Amendment|common folks|Defend the 2nd|gun|intoxicants|Joy|nation|orange|patriotism|photograph|U.S. Flag,0,1,1,0
1535,"Our kids are always a target for racists with power. 'I do not want to die:'
Michigan police hold 5 unarmed black kids at gunpoint in case of mistaken
identity Michigan Police Hold 5 Unarmed Black Kids At Gunpoint For No
Reason | BlackMattersUS.com blackmattersus.com",https://mith.umd.edu/irads/files/original/255637f176e41aa98176f63c5ae0b883.png,Anger|black|BM|Fear|guns|photograph|police brutality|race|racial tensions|Sadness,1,0,0,1
1538,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/84dfd1686f32336b498ac11fefa16d9e.png,2nd Amendment|common folks|Defend the 2nd|gun|intoxicants|Joy|nation|orange|patriotism|photograph|U.S. Flag,0,1,1,0
1545,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/7d2e12785aaba080fb79ec9b80e1b3f2.png,2nd Amendment|black|Defend the 2nd|gun|guns|Joy|patriotism|photograph,0,1,1,0
1548,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/ca68afd036138322354b8e1af5d63e5f.png,2nd Amendment|common folks|Defend the 2nd|gun|intoxicants|Joy|nation|orange|patriotism|photograph|U.S. Flag,0,1,1,0
1549,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/34ca10efe5d7d9019782b97c5f5aa355.png,2nd Amendment|common folks|Defend the 2nd|gun|intoxicants|Joy|nation|orange|patriotism|photograph|U.S. Flag,0,1,1,0
1553,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/7fa9c91d03c84e9d3213ed8ecf88e2c3.png,2nd Amendment|common folks|Defend the 2nd|gun|intoxicants|Joy|nation|orange|patriotism|photograph|U.S. Flag,0,1,1,0
1565,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/bdf718859311a100aa04545d2cfb9e18.png,2nd Amendment|black|common folks|Defend the 2nd|green|gun|intoxicants|Joy|nation|orange|patriotism|photograph|U.S. Flag,0,1,1,0
1589,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/ceff9d82516bc9bf4f4920c409133a09.png,2nd Amendment|black|brown|Defend the 2nd|gun|guns|intoxicants|Joy|Love|patriotism|photograph|red|U.S. Flag,0,1,1,0
1591,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/5d7efd1a657e4b0a0ffa5112ffa9daf5.png,2nd Amendment|black|brown|Defend the 2nd|gun|guns|intoxicants|Joy|Love|patriotism|photograph|red|U.S. Flag,0,1,1,0
1596,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/304b5a2d13e521b217852811221228b6.png,2nd Amendment|black|Defend the 2nd|gun|guns|Joy|patriotism|photograph,0,1,1,0
1646,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/7e708896cf43b0c2987a11e9a88a599d.png,2nd Amendment|black|civil rights|Defend the 2nd|green|gun|guns|Joy|orange|text|U.S. Flag,0,1,1,0
1648,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/3a97fcf24d0bba4da397b21553abd732.png,2nd Amendment|black|city on a hill|civil rights|cowboy|Defend the 2nd|gender|green|guns|illustration|Joy|Love|nation|orange|text|U.S. Flag,0,1,1,0
1665,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/9b2dd5f3445c818e50590d1dccc7ab54.png,2nd Amendment|black|civil rights|Defend the 2nd|gun|guns|Joy|photograph|white,0,1,1,0
1669,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/398d37ad2ca7663305cc453fcb965972.png,2nd Amendment|black|civil rights|Defend the 2nd|gun|guns|Joy|photograph|white,0,1,1,0
1673,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/aa16a730e75d1143adaaf30ebcaba985.png,2nd Amendment|black|civil rights|Defend the 2nd|Fear|guns|illustration|nation|white,0,1,1,0
1676,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/81b8f4951da4d45080d9109457219fea.png,2nd Amendment|black|civil rights|Defend the 2nd|Fear|guns|illustration|nation|white,0,1,1,0
